i,time include mem,time optm1 include mem,time optm2 include mem,time,time optm1,time optm2
1,0.0014003515243530273,0.0014003515243530273,0.001396864652633667,0.00046914815902709961,0.00047066807746887207,0.00046774744987487793
2,0.0014560222625732422,0.0014413893222808838,0.0014820098876953125,0.00048664212226867676,0.0004857182502746582,0.00049874186515808105
3,0.0014234185218811035,0.001407921314239502,0.0014114677906036377,0.00048029422760009766,0.00047230720520019531,0.00046935677528381348
4,0.0014188885688781738,0.0014157295227050781,0.0014061927795410156,0.00046887993812561035,0.0004679262638092041,0.00047138333320617676
5,0.0014212131500244141,0.001419752836227417,0.0014182627201080322,0.00047028064727783203,0.00046811785016741069,0.00047007203102111816
6,0.0014287829399108887,0.0014447569847106934,0.0014272630214691162,0.00047296285629272461,0.00047424435615539551,0.00047099590301513672
7,0.0014736354351043701,0.0014744400978088379,0.0014483332633972168,0.0004863739013671875,0.00048974156379699707,0.00047668814659118652
8,0.0014298558235168457,0.0014297962188720703,0.0014234781265258789,0.00047039985656738281,0.0004704594612121582,0.0004673302173614502
9,0.0014415979385375977,0.001438438892364502,0.0014364123344421387,0.00047099590301513672,0.00047096610069274902,0.00047054886817932129
10,0.001452714204788208,0.0014483630657196045,0.0014482438564300537,0.00047020912170410157,0.00047042965888977051,0.00047063827514648438
11,0.0014683306217193604,0.001458972692489624,0.0014608502388000488,0.00047147274017333984,0.00046908855438232422,0.00047013163566589355
12,0.0014812350273132324,0.0014762580394744873,0.0014771521091461182,0.00047099590301513672,0.0004679262638092041,0.00046756863594055176
13,0.0015067160129547119,0.0015097260475158691,0.0015082061290740967,0.00047159194946289062,0.00047075748443603516,0.00048723816871643066
14,0.0015226006507873535,0.0015092917851039342,0.0015115737915039062,0.00047224760055541992,0.000469207763671875,0.00047012737819126675
15,0.0017741918563842773,0.001768648624420166,0.0017670392990112305,0.00070288777351379395,0.00070026516914367676,0.00069898366928100586
16,0.0015968978404998779,0.0015895366668701172,0.0015897452831268311,0.00047507882118225098,0.00048047304153442383,0.00047397613525390625
17,0.001591116189956665,0.0015781521797180176,0.0015771985054016113,0.00047576427459716797,0.00047382712364196777,0.00047385692596435547
18,0.0016123950481414795,0.0015981197357177734,0.0015953183174133301,0.00047469139099121094,0.00047332048416137695,0.00047115484873453778
19,0.0016339165823800223,0.0016273260116577148,0.0016223788261413574,0.0004749596118927002,0.00047478079795837402,0.00047513842582702637
20,0.0016597509384155273,0.0016421377658843994,0.0016410946846008301,0.00047451257705688477,0.00047093629837036133,0.00046954836164202007
21,0.0017030239105224609,0.0016706287860870361,0.0016678571701049805,0.00047832727432250977,0.00047597289085388184,0.00047418475151062012
22,0.00171661376953125,0.0016951262950897217,0.001693861825125558,0.00047655900319417316,0.00047564506530761719,0.00047475099563598633
23,0.0017577707767486572,0.0017288923263549805,0.0017214502607073104,0.00047910213470458984,0.00047662854194641113,0.00047576427459716797
24,0.0018065571784973145,0.0017871260643005371,0.0017839968204498291,0.00047221779823303223,0.00047016143798828125,0.00046785672505696613
25,0.0017953813076019287,0.0017761290073394775,0.001775205135345459,0.00047460198402404785,0.00047233700752258301,0.00047150254249572754
26,0.0018418729305267334,0.0018080472946166992,0.0018121898174285889,0.00048100948333740234,0.00047349929809570312,0.00047227314540318081
27,0.0018635988235473633,0.0018367171287536621,0.0018359720706939697,0.00047636032104492188,0.0004749298095703125,0.00047424435615539551
28,0.0018829405307769775,0.0018754346030099051,0.0018699765205383301,0.00047254562377929688,0.00047025084495544434,0.0004710853099822998
29,0.0021882057189941406,0.0021826028823852539,0.002169489860534668,0.00071513652801513672,0.00071284174919128418,0.00071978569030761719
